id,item_id,dept_id,cat_id,store_id,state_id,total_sales,mean_sales,std_sales,cv,zero_pct,avg_price,total_revenue,cumulative_revenue,cumulative_revenue_pct,ABC,XYZ,ABC_XYZ,model_recommendation
FOODS_2_244_CA_3_validation,FOODS_2_244,FOODS_2,FOODS,CA_3,CA,33698,17.615263983272346,10.66039061265935,0.6051791572798783,4.547830632514375,5.815531914893617,195971.7944680851,2979052.795905941,1.5812357508622668,A,Y,AY,Prophet or LightGBM
HOBBIES_1_158_TX_3_validation,HOBBIES_1_158,HOBBIES_1,HOBBIES,TX_3,TX,8453,4.41871406168322,8.958276114542166,2.0273491313284233,77.20857292211186,22.98,194249.94,3173302.735905941,1.6843406539217114,A,Z,AZ,TFT or Ensemble
FOODS_3_202_TX_2_validation,FOODS_3_202,FOODS_3,FOODS,TX_2,TX,43772,22.881338212232095,15.61912829599338,0.6826142837940998,11.291165708311553,4.17563829787234,182776.03957446807,3356078.775480409,1.781355385776531,A,Y,AY,Prophet or LightGBM
FOODS_3_586_TX_1_validation,FOODS_3_586,FOODS_3,FOODS,TX_1,TX,112454,58.784108729743856,19.70872365834942,0.3352729859179971,0.7318348144276007,1.5959574468085107,179471.79872340427,3535550.5742038134,1.8766162770245838,A,X,AX,Prophet or ARIMA
FOODS_3_090_CA_1_validation,FOODS_3_090,FOODS_3,FOODS,CA_1,CA,127203,66.49398849973863,57.847195747624184,0.8699612860168789,24.51646628332462,1.38854609929078,176627.2294680851,3712177.8036718983,1.9703673143323184,A,Y,AY,Prophet or LightGBM
FOODS_3_587_CA_3_validation,FOODS_3_587,FOODS_3,FOODS,CA_3,CA,70324,36.7611082070047,29.700225784179782,0.8079252022799602,9.200209095661265,2.505886524822695,176223.9639716312,3888401.7676435295,2.0639043044701078,A,Y,AY,Prophet or LightGBM
FOODS_3_202_TX_3_validation,FOODS_3_202,FOODS_3,FOODS,TX_3,TX,41551,21.720334553058024,13.86258034472103,0.6382305167011945,13.434396236278099,4.210709219858156,174959.17879432626,4063360.9464378557,2.156769965941865,A,Y,AY,Prophet or LightGBM
FOODS_3_252_TX_2_validation,FOODS_3_252,FOODS_3,FOODS,TX_2,TX,114153,59.67224255096707,23.76247570180912,0.39821656914457654,0.20909566126502874,1.5204255319148936,173561.13574468085,4236922.082182537,2.2488935675030417,A,X,AX,Prophet or ARIMA
HOUSEHOLD_1_535_CA_3_validation,HOUSEHOLD_1_535,HOUSEHOLD_1,HOUSEHOLD,CA_3,CA,23899,12.492943021432305,8.66155636519368,0.6933159264661916,13.225300575013069,6.923571428571428,165466.43357142856,4402388.515753966,2.3367206247107517,A,Y,AY,Prophet or LightGBM
FOODS_3_090_TX_2_validation,FOODS_3_090,FOODS_3,FOODS,TX_2,TX,119496,62.465237846314686,54.053244443561624,0.86533320463056,24.621014113957134,1.3785106382978725,164726.50723404257,4567115.022988008,2.4241549403130467,A,Y,AY,Prophet or LightGBM
FOODS_3_090_WI_3_validation,FOODS_3_090,FOODS_3,FOODS,WI_3,WI,121434,63.478306325143755,55.08225731049384,0.8677335691402301,25.405122843700994,1.3368439716312057,162338.31085106384,4729453.333839072,2.510321637729442,A,Y,AY,Prophet or LightGBM
FOODS_3_134_WI_2_validation,FOODS_3_134,FOODS_3,FOODS,WI_2,WI,24501,12.807631991636173,12.682771644559455,0.9902510981609828,29.796131730266595,6.619112903225807,162174.8852419355,4891628.219081007,2.596401591327092,A,Y,AY,Prophet or LightGBM
HOUSEHOLD_1_272_CA_3_validation,HOUSEHOLD_1_272,HOUSEHOLD_1,HOUSEHOLD,CA_3,CA,16170,8.452692106638787,5.821350137712886,0.6886977621177953,18.76633559853633,9.847411347517731,159232.6414893617,5050860.860570368,2.6809198468522157,A,Y,AY,Prophet or LightGBM
FOODS_3_202_TX_1_validation,FOODS_3_202,FOODS_3,FOODS,TX_1,TX,37940,19.832723470987975,13.960935557726932,0.703934362728825,11.970726607422897,4.189503546099291,158949.76453900713,5209810.625109375,2.7652879556100145,A,Y,AY,Prophet or LightGBM
FOODS_3_090_TX_3_validation,FOODS_3_090,FOODS_3,FOODS,TX_3,TX,114854,60.03868269733403,48.089159317330484,0.8009695942157279,24.673288029273394,1.3761702127659574,158058.65361702128,5367869.278726397,2.849183076292623,A,Y,AY,Prophet or LightGBM
FOODS_3_226_WI_3_validation,FOODS_3_226,FOODS_3,FOODS,WI_3,WI,98227,51.34709879769995,14.606809173398702,0.28447194710936624,0.36591740721380034,1.605177304964539,157671.75113475177,5525541.029861148,2.932872835043444,A,X,AX,Prophet or ARIMA
FOODS_3_555_TX_2_validation,FOODS_3_555,FOODS_3,FOODS,TX_2,TX,97496,50.96497647673811,18.871378736116522,0.37028131946121795,0.20909566126502874,1.5959574468085107,155599.46723404256,5681140.497095191,3.0154626571317658,A,X,AX,Prophet or ARIMA
FOODS_3_586_CA_1_validation,FOODS_3_586,FOODS_3,FOODS,CA_1,CA,87691,45.83951907997909,16.396354004811563,0.3576903583173247,0.36591740721380034,1.5959574468085107,139951.1044680851,5821091.601563276,3.089746567125479,A,X,AX,Prophet or ARIMA
FOODS_2_197_CA_3_validation,FOODS_2_197,FOODS_2,FOODS,CA_3,CA,43148,22.55514898065865,12.833862026803212,0.5689992133418593,4.600104547830632,3.2409219858156026,139839.30184397163,5960930.903407248,3.163971133992903,A,Y,AY,Prophet or LightGBM
FOODS_3_694_WI_3_validation,FOODS_3_694,FOODS_3,FOODS,WI_3,WI,85633,44.76372190277052,12.998797690593078,0.29038688335226553,0.36591740721380034,1.605177304964539,137456.14815602836,6098387.051563276,3.236930759259979,A,X,AX,Prophet or ARIMA
FOODS_3_586_WI_3_validation,FOODS_3_586,FOODS_3,FOODS,WI_3,WI,86080,44.99738630423419,19.024964848081535,0.4228015538380573,0.31364349189754315,1.5959574468085107,137380.0170212766,6235767.068584553,3.3098499752828183,A,X,AX,Prophet or ARIMA
FOODS_3_202_CA_1_validation,FOODS_3_202,FOODS_3,FOODS,CA_1,CA,31379,16.403031887088343,10.203375270883697,0.622042031078126,11.029796131730267,4.32645390070922,135759.79695035462,6371526.865534907,3.3819092032235645,A,Y,AY,Prophet or LightGBM
HOUSEHOLD_1_053_CA_3_validation,HOUSEHOLD_1_053,HOUSEHOLD_1,HOUSEHOLD,CA_3,CA,8855,4.628855201254574,3.531538671875457,0.762939975075974,15.211709357030841,14.998368794326241,132810.55567375888,6504337.421208666,3.4524030189128454,A,Y,AY,Prophet or LightGBM
FOODS_3_587_CA_1_validation,FOODS_3_587,FOODS_3,FOODS,CA_1,CA,51717,27.03450078410873,21.442122622428826,0.7931392110274444,23.78463146889702,2.557304964539007,132256.14085106383,6636593.562059729,3.522602559677003,A,Y,AY,Prophet or LightGBM
HOBBIES_1_354_TX_2_validation,HOBBIES_1_354,HOBBIES_1,HOBBIES,TX_2,TX,5677,2.9675901725039204,5.624232100257021,1.8952186027464648,73.7584945112389,23.25906976744186,132041.73906976744,6768635.301129497,3.5926882992483455,A,Z,AZ,TFT or Ensemble
FOODS_3_252_TX_3_validation,FOODS_3_252,FOODS_3,FOODS,TX_3,TX,86632,45.28593831677993,20.562688205373952,0.45406342387201465,0.31364349189754315,1.5204255319148936,131717.50468085107,6900352.805810348,3.6626019401552674,A,X,AX,Prophet or ARIMA
FOODS_2_197_CA_1_validation,FOODS_2_197,FOODS_2,FOODS,CA_1,CA,40698,21.27443805541035,12.733155801915485,0.5985190193391401,8.311552535284893,3.23177304964539,131526.69957446808,7031879.505384816,3.7324143046242306,A,Y,AY,Prophet or LightGBM
FOODS_1_096_TX_3_validation,FOODS_1_096,FOODS_1,FOODS,TX_3,TX,20285,10.603763721902771,12.63438278194927,1.1914998403682007,35.80763199163617,6.390851063829787,129638.41382978724,7161517.9192146035,3.8012243958433083,A,Y,AY,Prophet or LightGBM
FOODS_3_090_TX_1_validation,FOODS_3_090,FOODS_3,FOODS,TX_1,TX,93684,48.97229482488238,46.038220965445994,0.9400870661681631,26.55514898065865,1.369645390070922,128313.85872340426,7289831.777938007,3.8693314334303466,A,Y,AY,Prophet or LightGBM
FOODS_2_276_CA_3_validation,FOODS_2_276,FOODS_2,FOODS,CA_3,CA,39243,20.51385258755881,16.708845297924654,0.8145152270450746,6.847882906429692,3.2409219858156026,127183.50148936169,7417015.279427369,3.9368384946516857,A,Y,AY,Prophet or LightGBM
FOODS_3_202_WI_3_validation,FOODS_3_202,FOODS_3,FOODS,WI_3,WI,29627,15.487192890747517,9.594167950626648,0.6194904407988922,10.141139571353893,4.2901418439716315,127104.03241134752,7544119.311838716,4.004303374899456,A,Y,AY,Prophet or LightGBM
FOODS_3_226_WI_1_validation,FOODS_3_226,FOODS_3,FOODS,WI_1,WI,78993,41.29273392577104,14.589165057090343,0.35331070796417186,0.31364349189754315,1.605886524822695,126853.79425531915,7670973.106094035,4.07163543255372,A,X,AX,Prophet or ARIMA
FOODS_3_555_TX_3_validation,FOODS_3_555,FOODS_3,FOODS,TX_3,TX,77673,40.60271824359644,18.735762196497536,0.4614410809663563,0.4704652378463147,1.5956028368794326,123935.25914893617,7794908.365242971,4.13741837632296,A,X,AX,Prophet or ARIMA
FOODS_3_252_CA_3_validation,FOODS_3_252,FOODS_3,FOODS,CA_3,CA,81456,42.58024046001046,15.954160896645172,0.3746846124936433,0.31364349189754315,1.5204255319148936,123847.78212765958,7918756.147370631,4.203154888624583,A,X,AX,Prophet or ARIMA
FOODS_3_587_TX_2_validation,FOODS_3_587,FOODS_3,FOODS,TX_2,TX,50127,26.20334553058024,16.811178831679776,0.6415661241447406,14.270778881338211,2.3934751773049645,119977.73021276595,8038733.877583397,4.266837236443478,A,Y,AY,Prophet or LightGBM
FOODS_3_444_TX_2_validation,FOODS_3_444,FOODS_3,FOODS,TX_2,TX,17745,9.276006272869838,14.378576964689447,1.5500827125078,66.12650287506534,6.617866666666667,117434.04400000001,8156167.921583396,4.329169434448268,A,Z,AZ,TFT or Ensemble
FOODS_3_377_TX_3_validation,FOODS_3_377,FOODS_3,FOODS,TX_3,TX,73797,38.57658128593832,11.758304576962882,0.3048042150186321,0.4181913225300575,1.5863829787234043,117070.30468085107,8273238.226264248,4.391308565174685,A,X,AX,Prophet or ARIMA
FOODS_2_244_CA_1_validation,FOODS_2_244,FOODS_2,FOODS,CA_1,CA,20041,10.476215368531102,6.918205102456836,0.6603725543136535,7.4751698902247785,5.840354609929078,117046.54673758867,8390284.773001837,4.453435085547469,A,Y,AY,Prophet or LightGBM
FOODS_3_587_TX_1_validation,FOODS_3_587,FOODS_3,FOODS,TX_1,TX,48277,25.236278097229484,15.273481870809483,0.6052192725077893,11.761630946157867,2.3934751773049645,115549.80113475177,8505834.574136589,4.5147671562010645,A,Y,AY,Prophet or LightGBM
HOUSEHOLD_1_494_CA_3_validation,HOUSEHOLD_1_494,HOUSEHOLD_1,HOUSEHOLD,CA_3,CA,14480,7.569262937794041,5.44021696416789,0.7187247964401363,17.564035546262417,7.97,115405.59999999999,8621240.174136588,4.576022687093466,A,Y,AY,Prophet or LightGBM
FOODS_3_444_WI_2_validation,FOODS_3_444,FOODS_3,FOODS,WI_2,WI,17351,9.070047046523785,16.706572757026365,1.8419499558637218,68.53110297961317,6.631111111111111,115056.4088888889,8736296.583025478,4.637092872674254,A,Z,AZ,TFT or Ensemble
FOODS_2_019_CA_1_validation,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,35324,18.46523784631469,10.981806422606278,0.5947286741718324,8.468374281233665,3.2320567375886524,114169.17219858155,8850465.75522406,4.697692126562887,A,Y,AY,Prophet or LightGBM
FOODS_3_252_CA_1_validation,FOODS_3_252,FOODS_3,FOODS,CA_1,CA,74971,39.190277051751174,18.7187444897051,0.4776374626029512,0.31364349189754315,1.5204255319148936,113987.8225531915,8964453.577777252,4.758195122827925,A,X,AX,Prophet or ARIMA
HOUSEHOLD_1_072_CA_3_validation,HOUSEHOLD_1_072,HOUSEHOLD_1,HOUSEHOLD,CA_3,CA,14102,7.371667537898588,4.2230508008020555,0.5728759170283884,5.854678515420805,7.998050541516245,112788.50873646208,9077242.086513713,4.81806154162575,A,Y,AY,Prophet or LightGBM
FOODS_3_226_WI_2_validation,FOODS_3_226,FOODS_3,FOODS,WI_2,WI,69966,36.5739675901725,13.886474662792285,0.379681931651397,0.6795608991113434,1.605886524822695,112357.45659574468,9189599.543109458,4.877699164526997,A,X,AX,Prophet or ARIMA
FOODS_3_555_TX_1_validation,FOODS_3_555,FOODS_3,FOODS,TX_1,TX,69516,36.338734971249345,18.443773072598017,0.5075513247005007,1.411395713538944,1.5959574468085107,110944.57787234044,9300544.120981798,4.93658685296849,A,Y,AY,Prophet or LightGBM
FOODS_3_607_CA_3_validation,FOODS_3_607,FOODS_3,FOODS,CA_3,CA,49122,25.677992681651855,29.001087308526774,1.1294141122350825,32.30527966544694,2.231,109591.182,9410135.302981798,4.994756179539608,A,Y,AY,Prophet or LightGBM
HOUSEHOLD_1_072_WI_2_validation,HOUSEHOLD_1_072,HOUSEHOLD_1,HOUSEHOLD,WI_2,WI,13496,7.05488761108207,4.159976376196822,0.5896587735376793,3.0318870883429168,8.010070921985816,108103.91716312058,9518239.220144918,5.052136088637391,A,Y,AY,Prophet or LightGBM
FOODS_1_012_CA_2_validation,FOODS_1_012,FOODS_1,FOODS,CA_2,CA,19401,10.141662310507057,8.29010739142414,0.8174308252045966,29.273392577104023,5.5043750000000005,106790.379375,9625029.599519918,5.108818791927495,A,Y,AY,Prophet or LightGBM
FOODS_3_587_WI_3_validation,FOODS_3_587,FOODS_3,FOODS,WI_3,WI,41634,21.763721902770516,17.026948940570744,0.7823546458017926,23.000522739153162,2.557304964539007,106470.83489361702,9731500.434413536,5.165331885884511,A,Y,AY,Prophet or LightGBM
FOODS_3_282_CA_3_validation,FOODS_3_282,FOODS_3,FOODS,CA_3,CA,41768,21.833768949294303,26.339247392975658,1.2063536741707153,49.503397804495556,2.502894736842105,104540.90736842105,9836041.341781957,5.220820603770178,A,Y,AY,Prophet or LightGBM
FOODS_1_096_WI_3_validation,FOODS_1_096,FOODS_1,FOODS,WI_3,WI,12889,6.737584945112389,7.693157143088419,1.1418271095296877,32.67119707266074,7.999645390070922,103107.42943262412,9939148.771214582,5.275548453448583,A,Y,AY,Prophet or LightGBM
FOODS_3_587_TX_3_validation,FOODS_3_587,FOODS_3,FOODS,TX_3,TX,40306,21.06952430737062,14.64655470402227,0.6951535540315239,20.282279142707786,2.5172340425531914,101459.63531914893,10040608.406533731,5.329401679164007,A,Y,AY,Prophet or LightGBM
HOUSEHOLD_1_427_WI_2_validation,HOUSEHOLD_1_427,HOUSEHOLD_1,HOUSEHOLD,WI_2,WI,17001,8.887088342916885,9.96469489341789,1.1212552985770499,37.219027705175115,5.96,101325.96,10141934.366533732,5.383183952060488,A,Y,AY,Prophet or LightGBM
FOODS_3_586_CA_2_validation,FOODS_3_586,FOODS_3,FOODS,CA_2,CA,63416,33.150026136957656,12.827048135796538,0.386939306859133,0.15682174594877157,1.5959574468085107,101209.23744680852,10243143.603980541,5.436904270407426,A,X,AX,Prophet or ARIMA
HOUSEHOLD_1_110_WI_2_validation,HOUSEHOLD_1_110,HOUSEHOLD_1,HOUSEHOLD,WI_2,WI,27788,14.525875588081547,14.569102228987829,1.002975837197845,36.17354939884997,3.640796019900497,101170.43980099501,10344314.043781536,5.490603995556185,A,Y,AY,Prophet or LightGBM
FOODS_3_377_TX_2_validation,FOODS_3_377,FOODS_3,FOODS,TX_2,TX,63174,33.023523261892315,11.564857031838578,0.3502005809653845,0.575013068478829,1.5863829787234043,100218.15829787235,10444532.202079408,5.543798264219014,A,X,AX,Prophet or ARIMA
FOODS_3_574_TX_2_validation,FOODS_3_574,FOODS_3,FOODS,TX_2,TX,16650,8.703606900156823,7.788398126716063,0.8948471841686383,17.8254051228437,5.985319148936171,99655.56382978724,10544187.765909195,5.596693916325802,A,Y,AY,Prophet or LightGBM
FOODS_3_120_WI_2_validation,FOODS_3_120,FOODS_3,FOODS,WI_2,WI,19731,10.314166231050706,9.85233861112575,0.9552239502855182,31.677992681651858,4.9799999999999995,98260.37999999999,10642448.145909196,5.648849026152267,A,Y,AY,Prophet or LightGBM
FOODS_3_444_TX_3_validation,FOODS_3_444,FOODS_3,FOODS,TX_3,TX,14704,7.686356508102457,13.230708745072816,1.7213238458463205,70.77888133821223,6.604444444444445,97111.75111111111,10739559.897020306,5.700394461297544,A,Z,AZ,TFT or Ensemble
HOUSEHOLD_1_072_WI_3_validation,HOUSEHOLD_1_072,HOUSEHOLD_1,HOUSEHOLD,WI_3,WI,11907,6.224255096706743,3.9931197075998734,0.6415417821985855,5.8024046001045475,8.01177304964539,95396.18170212765,10834956.078722434,5.751029298387528,A,Y,AY,Prophet or LightGBM
FOODS_2_029_CA_3_validation,FOODS_2_029,FOODS_2,FOODS,CA_3,CA,9179,4.798222686879248,6.787342311963363,1.4145534200660108,49.869315211709356,10.391914893617022,95387.38680851065,10930343.465530945,5.801659467282228,A,Y,AY,Prophet or LightGBM
FOODS_3_694_WI_2_validation,FOODS_3_694,FOODS_3,FOODS,WI_2,WI,59235,30.964453737584947,11.21466589942993,0.362178709641419,0.575013068478829,1.605886524822695,95124.68829787234,11025468.153828816,5.852150199817393,A,X,AX,Prophet or ARIMA
FOODS_3_764_CA_3_validation,FOODS_3_764,FOODS_3,FOODS,CA_3,CA,31967,16.710402509147936,15.277149707439396,0.9142299055379473,30.109775222164142,2.973225806451613,95045.10935483871,11120513.263183655,5.902598693064315,A,Y,AY,Prophet or LightGBM
FOODS_3_555_CA_3_validation,FOODS_3_555,FOODS_3,FOODS,CA_3,CA,59092,30.889702038682696,9.521311477854173,0.30823578246014743,0.20909566126502874,1.5956028368794326,94287.36283687943,11214800.626020534,5.9526449860259865,A,X,AX,Prophet or ARIMA
FOODS_3_099_TX_2_validation,FOODS_3_099,FOODS_3,FOODS,TX_2,TX,37797,19.757971772085728,9.17065198219881,0.46414946270726054,7.370622059592264,2.4925978647686833,94212.72149466192,11309013.347515196,6.002651660502558,A,X,AX,Prophet or ARIMA
HOBBIES_1_236_CA_1_validation,HOBBIES_1_236,HOBBIES_1,HOBBIES,CA_1,CA,7951,4.156299006795609,4.36556564567234,1.050349274326649,30.318870883429167,11.807934782608697,93884.88945652175,11402898.236971717,6.052484326737416,A,Y,AY,Prophet or LightGBM
FOODS_3_555_WI_3_validation,FOODS_3_555,FOODS_3,FOODS,WI_3,WI,57969,30.30266596968113,15.464539752484406,0.5103359476013501,0.31364349189754315,1.5959574468085107,92516.05723404256,11495414.29420576,6.101590437722872,A,Y,AY,Prophet or LightGBM
HOBBIES_1_147_CA_3_validation,HOBBIES_1_147,HOBBIES_1,HOBBIES,CA_3,CA,9170,4.793518034500784,3.8299886664816603,0.7989932736073518,14.427600627286985,10.050177935943061,92160.13167259787,11587574.425878359,6.150507628853274,A,Y,AY,Prophet or LightGBM
FOODS_1_012_TX_2_validation,FOODS_1_012,FOODS_1,FOODS,TX_2,TX,15414,8.057501306847882,4.538023987664945,0.5632048714417439,8.520648196549923,5.9646840148698885,91939.63940520446,11679514.065283563,6.199307786053805,A,Y,AY,Prophet or LightGBM
FOODS_3_444_TX_1_validation,FOODS_3_444,FOODS_3,FOODS,TX_1,TX,13783,7.204913748039728,11.275471804190524,1.564969713517846,65.55148980658652,6.631111111111111,91396.60444444444,11770910.669728007,6.247819708586223,A,Z,AZ,TFT or Ensemble
FOODS_2_019_CA_3_validation,FOODS_2_019,FOODS_2,FOODS,CA_3,CA,27771,14.516989022477784,9.087128292518383,0.6259650867303181,5.4364871928907474,3.2409219858156026,90003.6444680851,11860914.314196093,6.295592269225772,A,Y,AY,Prophet or LightGBM
HOUSEHOLD_1_110_CA_3_validation,HOUSEHOLD_1_110,HOUSEHOLD_1,HOUSEHOLD,CA_3,CA,24571,12.844223732357554,13.370852873769998,1.0410012432347893,43.910088865656036,3.6597714285714287,89924.24377142858,11950838.557967521,6.343322685187533,A,Y,AY,Prophet or LightGBM
HOUSEHOLD_1_535_CA_1_validation,HOUSEHOLD_1_535,HOUSEHOLD_1,HOUSEHOLD,CA_1,CA,12693,6.635128071092525,5.2302609479549185,0.7882682733347325,14.950339780449557,6.97,88470.20999999999,12039308.767967522,6.390281322218251,A,Y,AY,Prophet or LightGBM
FOODS_3_252_CA_2_validation,FOODS_3_252,FOODS_3,FOODS,CA_2,CA,57328,29.96759017250392,14.602128585294748,0.4872640242755521,0.36591740721380034,1.5200709219858157,87142.62581560285,12126451.393783124,6.436535297828555,A,X,AX,Prophet or ARIMA
FOODS_2_276_CA_1_validation,FOODS_2_276,FOODS_2,FOODS,CA_1,CA,26541,13.87401986408782,10.008585932155654,0.7213904859731648,9.932043910088865,3.2320567375886524,85782.01787234042,12212233.411655465,6.4820670835113265,A,Y,AY,Prophet or LightGBM
FOODS_3_252_TX_1_validation,FOODS_3_252,FOODS_3,FOODS,TX_1,TX,56294,29.42707788813382,14.547111082964626,0.4943443973018676,0.4181913225300575,1.5200709219858157,85570.87248226951,12297804.284137735,6.527486796444039,A,X,AX,Prophet or ARIMA
FOODS_3_587_WI_2_validation,FOODS_3_587,FOODS_3,FOODS,WI_2,WI,33270,17.391531625718766,14.745085084234468,0.8478313124779242,25.352848928384734,2.5580141843971633,85105.13191489363,12382909.416052628,6.572659301392799,A,Y,AY,Prophet or LightGBM
HOUSEHOLD_1_469_CA_3_validation,HOUSEHOLD_1_469,HOUSEHOLD_1,HOUSEHOLD,CA_3,CA,4701,2.4573967590172505,2.1426856625115422,0.871933136010334,22.84370099320439,18.062198581560285,84910.3955319149,12467819.811584543,6.617728443241992,A,Y,AY,Prophet or LightGBM
FOODS_1_096_WI_1_validation,FOODS_1_096,FOODS_1,FOODS,WI_1,WI,10645,5.564558285415577,5.1682753481310355,0.9287844754320969,13.434396236278099,7.970106382978722,84841.7824468085,12552661.594031353,6.662761166312943,A,Y,AY,Prophet or LightGBM
FOODS_3_499_CA_3_validation,FOODS_3_499,FOODS_3,FOODS,CA_3,CA,33565,17.545739675901725,19.64880159097504,1.1198616845981006,46.210141139571355,2.5059627329192544,84112.63913043478,12636774.233161787,6.707406871241436,A,Y,AY,Prophet or LightGBM
FOODS_3_511_CA_1_validation,FOODS_3_511,FOODS_3,FOODS,CA_1,CA,12799,6.690538421327758,9.564123116669606,1.4294997673403356,58.546785154208045,6.540483870967742,83711.65306451614,12720485.886226302,6.751839738886918,A,Y,AY,Prophet or LightGBM
HOUSEHOLD_1_366_WI_2_validation,HOUSEHOLD_1_366,HOUSEHOLD_1,HOUSEHOLD,WI_2,WI,14004,7.320439100888657,8.484621272303421,1.159031740496747,37.79404077365395,5.96,83463.84,12803949.726226302,6.796141071140452,A,Y,AY,Prophet or LightGBM
FOODS_3_444_CA_3_validation,FOODS_3_444,FOODS_3,FOODS,CA_3,CA,12784,6.682697334030319,11.056628397103445,1.6545158106741935,64.03554626241505,6.526711111111111,83437.47484444444,12887387.201070746,6.840428409171863,A,Z,AZ,TFT or Ensemble
FOODS_3_714_WI_3_validation,FOODS_3_714,FOODS_3,FOODS,WI_3,WI,54755,28.622582331416623,14.005553085142468,0.48931829151452,0.31364349189754315,1.5236170212765958,83425.65000000001,12970812.851070747,6.8847094707563405,A,X,AX,Prophet or ARIMA
HOBBIES_1_147_CA_4_validation,HOBBIES_1_147,HOBBIES_1,HOBBIES,CA_4,CA,8321,4.349712493465761,4.280729277572691,0.9841407412566467,23.000522739153162,10.004505928853757,83247.4938339921,13054060.34490474,6.928895969767335,A,Y,AY,Prophet or LightGBM
FOODS_3_120_TX_3_validation,FOODS_3_120,FOODS_3,FOODS,TX_3,TX,16701,8.730266596968113,13.057571213788373,1.4956669500016262,56.455828541557764,4.9799999999999995,83170.98,13137231.32490474,6.973041856403177,A,Y,AY,Prophet or LightGBM
FOODS_3_099_CA_1_validation,FOODS_3_099,FOODS_3,FOODS,CA_1,CA,33194,17.35180345007841,7.914540810134441,0.4561220874190271,4.7569262937794035,2.498291814946619,82928.29850533807,13220159.623410078,7.0170589314060186,A,X,AX,Prophet or ARIMA
FOODS_3_083_CA_3_validation,FOODS_3_083,FOODS_3,FOODS,CA_3,CA,4436,2.318870883429169,2.135685980173873,0.9210025428477498,24.934657605854678,18.62627659574468,82626.1629787234,13302785.786388801,7.060915637483226,A,Y,AY,Prophet or LightGBM
FOODS_3_714_CA_1_validation,FOODS_3_714,FOODS_3,FOODS,CA_1,CA,54080,28.269733403031886,14.500767280815749,0.5129431917196844,0.36591740721380034,1.5239716312056737,82416.38581560283,13385202.172204405,7.104660997044354,A,Y,AY,Prophet or LightGBM
FOODS_1_170_CA_3_validation,FOODS_1_170,FOODS_1,FOODS,CA_3,CA,14833,7.753789858860428,6.168187909977989,0.7955062004845879,26.241505488761106,5.5041015625,81642.3384765625,13466844.510680968,7.147995504093223,A,Y,AY,Prophet or LightGBM
